Designator,Mid X,Mid Y,Rotation,Layer
12VLED1,121.51,-33.14,180.0,top
3V3LED1,121.43,-38.17,180.0,top
BOOTJUMPER1,83.445,-49.86,270.0,top
C1,82.91,-40.49,0.0,top
C10,72.72,-42.42,270.0,top
C11,74.96,-32.84,180.0,top
C12,80.48,-43.41,180.0,top
C13,75.71,-45.24,90.0,top
C14,79.47,-45.35,270.0,top
C15,94.484,-45.57,270.0,top
C17,93.594,-47.8,180.0,top
C18,78.656,-57.558,0.0,top
C19,76.836,-57.558,180.0,top
C2,80.67,-39.08,270.0,top
C20,80.82,-67.83,270.0,top
C23,89.4725,-66.0,180.0,top
C24,114.0925,-52.34,180.0,top
C25,95.974,-45.58,270.0,top
C3,79.75,-39.09,270.0,top
C30,93.589,-52.2,0.0,top
C32,93.589,-50.74,0.0,top
C34,98.974,-45.58,270.0,top
C36,93.584,-49.26,0.0,top
C38,97.464,-45.57,270.0,top
C4,83.0,-39.55,0.0,top
C40,97.08,-41.79,270.0,top
C42,102.234,-38.466,90.0,top
C44,98.98,-42.6,270.0,top
C46,107.504,-41.706,0.0,top
C47,107.054,-44.176,90.0,top
C49,88.48,-57.01,180.0,top
C5,81.53,-40.95,270.0,top
C50,90.625,-52.19,0.0,top
C51,86.21,-52.28,180.0,top
C52,86.22,-51.36,180.0,top
C53,90.11,-42.07,180.0,top
C54,90.12,-43.0,180.0,top
C6,79.41,-40.93,270.0,top
C7,78.65,-43.41,0.0,top
C8,80.34,-37.24,90.0,top
C9,78.65,-42.49,0.0,top
D1,74.9,-30.77,90.0,top
D2,78.26702,-68.835,90.0,top
ENJUMPER1,83.45,-43.69,0.0,top
IC2,103.245,-42.8,0.0,top
J1,71.11,-50.355,180.0,top
J3,82.24,-28.35,180.0,top
J4,68.39,-54.42,0.0,top
J5,116.74,-69.23,180.0,top
J6,68.39,-60.59,0.0,top
J7,95.56,-24.57,0.0,top
J8,68.35,-36.2,0.0,top
J9,111.57,-24.56,0.0,top
L1,80.6,-40.95,270.0,top
L2,77.27,-42.93,270.0,top
L3,101.45,-52.47,0.0,top
L5,92.82,-54.69,90.0,top
Q1,98.305,-66.7,180.0,top
Q2,98.325,-60.9,0.0,top
Q3,115.175,-41.795,180.0,top
Q4,115.215,-35.61,0.0,top
Q5,109.685,-35.275,270.0,top
Q6,94.71,-35.275,90.0,top
R1,87.06,-54.74,270.0,top
R10,82.49,-28.36,90.0,bottom
R11,81.54,-28.36,270.0,bottom
R12,86.23,-39.1,270.0,top
R13,86.4,-42.99,180.0,top
R14,120.52,-29.8,0.0,top
R15,81.8,-63.955,90.0,top
R16,79.79702,-66.175,0.0,top
R17,76.82702,-66.185,0.0,top
R18,71.44,-56.875,90.0,top
R19,71.45,-63.025,90.0,top
R2,88.27,-42.99,180.0,top
R20,106.68,-38.885,180.0,top
R21,107.13,-40.31,270.0,top
R22,121.53,-30.74,0.0,top
R23,75.17,-63.5,90.0,top
R24,89.21,-58.54,180.0,top
R25,107.524,-42.796,180.0,top
R26,88.17,-59.49,180.0,top
R29,103.164,-38.486,270.0,top
R3,81.61,-39.09,90.0,top
R30,101.284,-38.486,90.0,top
R31,104.124,-38.486,90.0,top
R4,73.64,-44.29,90.0,top
R5,77.3,-52.32,270.0,top
R6,79.41,-37.24,270.0,top
R7,120.42,-37.22,180.0,top
R8,81.12,-44.8,90.0,top
R9,120.5,-32.2,0.0,top
TXLED1,76.35,-52.32,270.0,top
U1,110.53,-39.6,180.0,top
U10,88.235,-47.18,90.0,top
U2,74.84,-37.4,180.0,top
U4,89.36,-54.72,0.0,top
U5,78.365,-61.725,270.0,top
U6,102.95,-59.66,0.0,top
U7,110.53,-43.01,0.0,top
U8,93.8325,-39.55,0.0,top
USBLED1,87.645,-39.56,180.0,top
Y1,77.57,-45.18,180.0,top
